Reference, Value, Footprint, MPN
AM1,T2A/250V,-,0034.3120
C1,0.1uF/275VAC,Capacitor_THT:C_Rect_L18.0mm_W5.0mm_P15.00mm_FKS3_FKP3,R46KI310000M1M
C2,1nF/400VAC,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm,CS65ZU2GA102MANKA
C3,1nF/400VAC,Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P7.50mm,CS65ZU2GA102MANKA
C4,1uF/50V,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,K105M20X7RF53H5
C5,100uF/50V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,UPW1J680MPD1TD
CONN1,VAC,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal",1715857
CONN2,VOUT,Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical,BCS-101-L-D-TE
F1,0031.8201,Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,0031.8201
L1,330uH/2A,Inductor_THT:L_Toroid_Vertical_L25.4mm_W14.7mm_P12.20mm_Vishay_TJ5_BigPads,DPO-3.0-330
L2,FL2D-Z5-103,AE01.07.50.100:FL2D-Z5-103,FL2D-Z5-103
PS1,IRM-03-05,Converter_ACDC:Converter_ACDC_MeanWell_IRM-03-xx_THT,IRM-03-05
R1,33R/3W,Resistor_THT:R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical,ROX3SJ33R
RV1,S14K350,Varistor:RV_Disc_D15.5mm_W3.9mm_P7.5mm,B72214P2351K101
TVS1,1.5KE7.5CA,Diode_THT:D_DO-201_P5.08mm_Vertical_KathodeUp,1.5KE7.5CA
